"No.","Time","Source","Destination","Protocol","Length","Info"
"1067","9.960814","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1068","10.000935","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1069","10.001515","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1070","10.040741","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1071","10.040743","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1072","10.075257","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x7283 A ssl.gstatic.com"
"1073","10.075495","192.168.43.45","8.8.8.8","DNS","75","Standard query 0xdf33 HTTPS ssl.gstatic.com"
"1074","10.080059","192.168.43.45","8.8.8.8","DNS","74","Standard query 0xa3ab A www.google.com"
"1075","10.080287","192.168.43.45","8.8.8.8","DNS","74","Standard query 0xe533 HTTPS www.google.com"
"1076","10.080459","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1077","10.080574","192.168.43.45","8.8.8.8","DNS","80","Standard query 0xf482 A beacons.gcp.gvt2.com"
"1078","10.080788","192.168.43.45","8.8.8.8","DNS","80","Standard query 0x61a6 HTTPS beacons.gcp.gvt2.com"
"1079","10.081025","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x164a A beacons.gvt2.com"
"1080","10.081224","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x5dce HTTPS beacons.gvt2.com"
"1081","10.087466","192.168.43.45","8.8.8.8","DNS","77","Standard query 0xc5c6 A beacons5.gvt2.com"
"1082","10.087680","192.168.43.45","8.8.8.8","DNS","77","Standard query 0x2ca8 HTTPS beacons5.gvt2.com"
